0	 0 0 0.375 0.433013 1 1 1.125 0.433013
0.001	 0 0 0.373054 0.433013 1 1 1.12695 0.433013
0.002	 0 0 0.370948 0.433013 1 1 1.12905 0.433013
0.003	 0 0 0.368754 0.433013 1 1 1.13125 0.433013
0.004	 0 0 0.366529 0.433013 1 1 1.13347 0.433013
0.005	 0 0 0.364317 0.433013 1 1 1.13568 0.433013
0.006	 0 0 0.362154 0.433013 1 1 1.13785 0.433013
0.007	 0 0 0.360065 0.433013 1 1 1.13993 0.433013
0.008	 0 0 0.358072 0.433013 1 1 1.14193 0.433013
0.009	 0 0 0.356188 0.433013 1 1 1.14381 0.433013
0.01	 0 0 0.354422 0.433013 1 1 1.14558 0.433013
0.011	 0 0 0.35278 0.433013 1 1 1.14722 0.433013
0.012	 0 0 0.351264 0.433013 1 1 1.14874 0.433013
0.013	 0 0 0.349874 0.433013 1 1 1.15013 0.433013
0.014	 0 0 0.348607 0.433013 1 1 1.15139 0.433013
0.015	 0 0 0.347459 0.433013 1 1 1.15254 0.433013
0.016	 0 0 0.346426 0.433013 1 1 1.15357 0.433013
0.017	 0 0 0.345502 0.433013 1 1 1.1545 0.433013
0.018	 0 0 0.34468 0.433013 1 1 1.15532 0.433013
0.019	 0 0 0.343953 0.433013 1 1 1.15605 0.433013
0.02	 0 0 0.343315 0.433013 1 1 1.15669 0.433013
0.021	 0 0 0.342759 0.433013 1 1 1.15724 0.433013
0.022	 0 0 0.342278 0.433013 1 1 1.15772 0.433013
0.023	 0 0 0.341866 0.433013 1 1 1.15813 0.433013
0.024	 0 0 0.341517 0.433013 1 1 1.15848 0.433013
0.025	 0 0 0.341224 0.433013 1 1 1.15878 0.433013
0.026	 0 0 0.340983 0.433013 1 1 1.15902 0.433013
0.027	 0 0 0.340789 0.433013 1 1 1.15921 0.433013
0.028	 0 0 0.340636 0.433013 1 1 1.15936 0.433013
0.029	 0 0 0.340521 0.433013 1 1 1.15948 0.433013
0.03	 0 0 0.340438 0.433013 1 1 1.15956 0.433013
0.031	 0 0 0.340386 0.433013 1 1 1.15961 0.433013
0.032	 0 0 0.34036 0.433013 1 1 1.15964 0.433013
0.033	 0 0 0.340356 0.433013 1 1 1.15964 0.433013
0.034	 0 0 0.340374 0.433013 1 1 1.15963 0.433013
0.035	 0 0 0.340409 0.433013 1 1 1.15959 0.433013
0.036	 0 0 0.34046 0.433013 1 1 1.15954 0.433013
0.037	 0 0 0.340525 0.433013 1 1 1.15948 0.433013
0.038	 0 0 0.340601 0.433013 1 1 1.1594 0.433013
0.039	 0 0 0.340687 0.433013 1 1 1.15931 0.433013
0.04	 0 0 0.340783 0.433013 1 1 1.15922 0.433013
0.041	 0 0 0.340885 0.433013 1 1 1.15911 0.433013
0.042	 0 0 0.340994 0.433013 1 1 1.15901 0.433013
0.043	 0 0 0.341107 0.433013 1 1 1.15889 0.433013
0.044	 0 0 0.341225 0.433013 1 1 1.15877 0.433013
0.045	 0 0 0.341347 0.433013 1 1 1.15865 0.433013
0.046	 0 0 0.34147 0.433013 1 1 1.15853 0.433013
0.047	 0 0 0.341596 0.433013 1 1 1.1584 0.433013
0.048	 0 0 0.341723 0.433013 1 1 1.15828 0.433013
0.049	 0 0 0.341851 0.433013 1 1 1.15815 0.433013
0.05	 0 0 0.341979 0.433013 1 1 1.15802 0.433013
0.051	 0 0 0.342107 0.433013 1 1 1.15789 0.433013
0.052	 0 0 0.342235 0.433013 1 1 1.15777 0.433013
0.053	 0 0 0.342362 0.433013 1 1 1.15764 0.433013
0.054	 0 0 0.342488 0.433013 1 1 1.15751 0.433013
0.055	 0 0 0.342613 0.433013 1 1 1.15739 0.433013
0.056	 0 0 0.342737 0.433013 1 1 1.15726 0.433013
0.057	 0 0 0.342859 0.433013 1 1 1.15714 0.433013
0.058	 0 0 0.342979 0.433013 1 1 1.15702 0.433013
0.059	 0 0 0.343098 0.433013 1 1 1.1569 0.433013
0.06	 0 0 0.343215 0.433013 1 1 1.15679 0.433013
0.061	 0 0 0.343329 0.433013 1 1 1.15667 0.433013
0.062	 0 0 0.343442 0.433013 1 1 1.15656 0.433013
0.063	 0 0 0.343552 0.433013 1 1 1.15645 0.433013
0.064	 0 0 0.343661 0.433013 1 1 1.15634 0.433013
0.065	 0 0 0.343767 0.433013 1 1 1.15623 0.433013
0.066	 0 0 0.343871 0.433013 1 1 1.15613 0.433013
0.067	 0 0 0.343972 0.433013 1 1 1.15603 0.433013
0.068	 0 0 0.344071 0.433013 1 1 1.15593 0.433013
0.069	 0 0 0.344169 0.433013 1 1 1.15583 0.433013
0.07	 0 0 0.344263 0.433013 1 1 1.15574 0.433013
0.071	 0 0 0.344356 0.433013 1 1 1.15564 0.433013
0.072	 0 0 0.344446 0.433013 1 1 1.15555 0.433013
0.073	 0 0 0.344534 0.433013 1 1 1.15547 0.433013
0.074	 0 0 0.34462 0.433013 1 1 1.15538 0.433013
0.075	 0 0 0.344704 0.433013 1 1 1.1553 0.433013
0.076	 0 0 0.344785 0.433013 1 1 1.15521 0.433013
0.077	 0 0 0.344864 0.433013 1 1 1.15514 0.433013
0.078	 0 0 0.344942 0.433013 1 1 1.15506 0.433013
0.079	 0 0 0.345017 0.433013 1 1 1.15498 0.433013
0.08	 0 0 0.34509 0.433013 1 1 1.15491 0.433013
0.081	 0 0 0.345161 0.433013 1 1 1.15484 0.433013
0.082	 0 0 0.34523 0.433013 1 1 1.15477 0.433013
0.083	 0 0 0.345297 0.433013 1 1 1.1547 0.433013
0.084	 0 0 0.345363 0.433013 1 1 1.15464 0.433013
0.085	 0 0 0.345426 0.433013 1 1 1.15457 0.433013
0.086	 0 0 0.345487 0.433013 1 1 1.15451 0.433013
0.087	 0 0 0.345547 0.433013 1 1 1.15445 0.433013
0.088	 0 0 0.345605 0.433013 1 1 1.15439 0.433013
0.089	 0 0 0.345661 0.433013 1 1 1.15434 0.433013
0.09	 0 0 0.345716 0.433013 1 1 1.15428 0.433013
0.091	 0 0 0.345768 0.433013 1 1 1.15423 0.433013
0.092	 0 0 0.345819 0.433013 1 1 1.15418 0.433013
0.093	 0 0 0.345869 0.433013 1 1 1.15413 0.433013
0.094	 0 0 0.345917 0.433013 1 1 1.15408 0.433013
0.095	 0 0 0.345963 0.433013 1 1 1.15404 0.433013
0.096	 0 0 0.346008 0.433013 1 1 1.15399 0.433013
0.097	 0 0 0.346051 0.433013 1 1 1.15395 0.433013
